Chinese (Simplified),English,Category,Description,Reference,Chinese (Traditional),Korean,Japanese,Swedish,Polish,Dutch,Indonesian,Spanish,Turkish,Vietnamese,French,German,Italian,Russian,Portuguese,Thai,Malaysian,Arabic
心弦-协同,Heartstring - Synergy,,,,心弦-協同,하트스트링 - 협동,ハートリンク・協同,Hjärtsträng – Synergi,Struna serca – synergia,Verbonden harten - Synergie,Heartstring - Synergy,Sentimiento: Sinergia,Gönül Bağı - Sinerji,Tâm Giao – Hợp Lực,Corde sensible - Synergie,Herzensbande – Synergie,Sentimento - Sinergia,Струна души: Синергия,Laços de Amor - Sinergia,สายใยหัวใจ - พลังเป็นหนึ่ง,Untaian Hati - Sinergi,شغاف القلب - التآزر
心弦-狂暴,Heartstring - Frenzy,,,,心弦-狂暴,하트스트링 - 광폭,ハートリンク・狂暴,Hjärtsträng – Frenesi,Struna serca – szał,Verbonden harten - Razernij,Heartstring - Frenzy,Sentimiento: Frenesí,Gönül Bağı - Çılgınlık,Tâm Giao – Cuồng Nộ,Corde sensible - Frénésie,Herzensbande – Raserei,Sentimento - Frenesia,Струна души: Безумие,Laços de Amor - Frenesi,สายใยหัวใจ - บ้าคลั่ง,Untaian Hati - Kegilaan,شغاف القلب - الهياج
心弦-鼓舞,Heartstring - Inspire,,,,心弦-鼓舞,하트스트링 - 사기 진작,ハートリンク・鼓舞,Hjärtsträng – Inspirera,Struna serca – inspiracja,Verbonden harten - Inspireren,Heartstring - Inspire,Sentimiento: Inspirar,Gönül Bağı - İlham,Tâm Giao – Cổ Vũ,Corde sensible - Inspiration,Herzensbande – Inspiration,Sentimento - Ispirazione,Струна души: Вдохновение,Laços de Amor - Inspiração,สายใยหัวใจ - จุดประกาย,Untaian Hati - Inspirasi,شغاف القلب - الإلهام
心弦-增幅,Heartstring - Amplify,,,,心弦-增幅,하트스트링 - 증폭,ハートリンク・増幅,Hjärtsträng – Förstärk,Struna serca – amplifikacja,Verbonden harten - Versterken,Heartstring - Amplify,Sentimiento: Amplificar,Gönül Bağı - Yükseltme,Tâm Giao – Khuếch Đại,Corde sensible - Amplification,Herzensbande – Verstärkung,Sentimento - Amplificazione,Струна души: Усиление,Laços de Amor - Ampliação,สายใยหัวใจ - เพิ่มพลัง,Untaian Hati - Memperkuat,شغاف القلب - التضخيم
心弦-凝聚,Heartstring - Focus,,,,心弦-凝聚,하트스트링 - 응집,ハートリンク・凝集,Hjärtsträng – Fokus,Struna serca – skupienie,Verbonden harten - Focus,Heartstring - Focus,Sentimiento: Enfoque,Gönül Bağı - Odak,Tâm Giao – Tập Trung,Corde sensible - Concentration,Herzensbande – Fokus,Sentimento - Concentrazione,Струна души: Внимание,Laços de Amor - Foco,สายใยหัวใจ - โฟกัส,Untaian Hati - Fokus,شغاف القلب - التركيز
心弦-共鸣,Heartstring - Resonance,,,,心弦-共鳴,하트스트링 - 공명,ハートリンク・共鳴,Hjärtsträng – Resonans,Struna serca – rezonans,Verbonden harten - Resonantie,Heartstring - Resonance,Sentimiento: Resonancia,Gönül Bağı - Rezonans,Tâm Giao – Cộng Hưởng,Corde sensible - Résonance,Herzensbande – Resonanz,Sentimento - Risonanza,Струна души: Резонанс,Laços de Amor - Ressonância,สายใยหัวใจ - สั่นพ้อง,Untaian Hati - Resonans,شغاف القلب - الرنين
迷惘先知,The Wandering Seer,,技能名 | Skill Name,,迷惘先知,방황하는 예언자,迷える預言者,Den vandrande siaren,Wędrowny prorok,De zwervende ziener,The Wandering Seer,El vidente errante,Gezgin Kahin,Nhà Tiên Tri Lang Thang,Le voyant errant,Der wandernde Prophet,Il veggente errante,Странствующий пророк,A Vidente Errante,ผู้หยั่งรู้พเนจร,Peramal Pengembara,العرّاف المتجول
盖尔,Gaal,,英杰船员名 | Heroic Crew Member Name,,蓋爾,게일,ガール,Gaal,Gaal,Gaal,Gaal,Gaal,Gaal,Gaal,Gaal,Gaal,Gaal,Гаал,Gaal,กาอัล,Gaal,جال
浪漫签到,Romantic Sign-In,,2026 情人节活动名称 | 2026 Valentines Event,,浪漫簽到,로맨틱 출석체크,ロマンスログイン,Romantisk inloggning,Romantyczne logowanie,Romantische aanmelding,Login Romantis,Inicio de sesión romántico,Romantik Giriş,Điểm Danh Lãng Mạn,Connexion romantique,Romantische Anmeldung,Accesso romantico,Романтический вход,Login Romântico,ลงชื่อเข้าใช้โรแมนติก,Daftar Masuk Romantik,تسجيل الدخول الرومانسي
爱意好礼,Gifts of Affection,,2026 情人节活动名称 | 2026 Valentines Event,,愛意好禮,사랑의 선물,愛のギフト,Tillgivenhetsgåvor,Prezenty sympatii,Liefdesgeschenken,Gifts of Affection,Regalos de afecto,Sevgi Hediyeleri,Quà Tặng Tâm Ý,Cadeaux d'affection,Zuneigungsgeschenke,Regali d'affetto,Дары симпатии,Presentes de Afeição,ของขวัญแห่งความรัก,Hadiah Kasih Sayang,هدايا المودة
爱意积分,Affection Points,,2026 情人节活动道具 | 2026 Valentines Event Item,,愛意積分,애정 포인트,愛情ポイント,Tillgivenhetspoäng,Punkty sympatii,Genegenheidspunten,Poin Affection,Puntos de afecto,Sevgi Puanları,Điểm Tâm Ý,Points d'affection,Zuneigungspunkte,Punti affetto,Очки симпатии,Pontos de Afeição,คะแนนความรัก,Mata Kasih Sayang,نقاط المودة
爱意好礼解锁礼包-进阶,Advanced Gifts of Affection Pack,,2026 情人节活动道具 | 2026 Valentines Event Item,,愛意好禮解鎖禮包-進階,사랑의 선물 해금 패키지 - 승급,愛のギフト解放パック・上級,Paket med avancerade tillgivenhetsgåvor,Pakiet zaawansowanych prezentów sympatii,Geavanceerde genegenheidscadeaubundel,Paket Gifts of Affection Advanced,Paquete de regalos de afecto avanzado,Gelişmiş Sevgi Hediyeleri Paketi,Gói Quà Tặng Tâm Ý Cao Cấp,Pack de cadeaux d'affection (avancé),Fortgeschrittenes Zuneigungspaket,Pacchetto Regali d'affetto avanzato,Улучшенный набор «Дары симпатии»,Pacote de Presentes de Afeição Avançado,แพ็กของขวัญแห่งความรักขั้นสูง,Pek Hadiah Kasih Sayang Lanjutan,حزمة هدايا المودة المتقدمة
爱意礼赠解锁礼包-豪华,Deluxe Gifts of Affection Pack,,2026 情人节活动道具 | 2026 Valentines Event Item,,愛意禮贈解鎖禮包-豪華,사랑의 선물 해금 패키지 - 럭셔리,愛のギフト解放パック・豪華,Paket med deluxe tillgivenhetsgåvor,Pakiet prezentów sympatii deluxe,Luxe genegenheidscadeaubundel,Paket Gifts of Affection Deluxe,Paquete de regalos de afecto de lujo,Lüks Sevgi Hediyeleri Paketi,Gói Quà Tặng Tâm Ý Hạng Sang,Pack de cadeaux d'affection (deluxe),Deluxe-Zuneigungspaket,Pacchetto Regali d'affetto deluxe,Элитный набор «Дары симпатии»,Pacote de Presentes de Afeição Deluxe,แพ็กของขวัญแห่งความรักดีลักซ์,Pek Hadiah Kasih Sayang Mewah,حزمة هدايا المودة الفاخرة
人气值,Popularity Points,,,,人氣值,인기 포인트,人気ポイント,Popularitetspoäng,Punkty popularności,Populariteitspunten,Poin Popularity,Puntos de popularidad,Popülerlik Puanları,Điểm Sức Hút,Points de popularité,Beliebtheitspunkte,Punti popolarità,Очки популярности,Pontos de Popularidade,คะแนนความนิยม,Mata Populariti,نقاط الشعبية
人气榜,Popularity Ranking,,,,人氣榜,인기 랭킹,受取ランキング,Popularitetsranking,Ranking popularności,Populariteitsklassement,Peringkat Popularity,Clasificación de popularidad,Popülerlik Sıralaması,Xếp Hạng Sức Hút,Classement de popularité,Beliebtheitsrangliste,Classifica popolarità,Рейтинг популярности,Classificação de Popularidade,อันดับความนิยม,Kedudukan Populariti,تصنيف الشعبية
人气焦点,Popularity Spotlight,,,,人氣焦點,인기의 중심,人気スポットライト,Popularitetens rampljus,Mistrz Popularności,Populariteitspotlight,Popularity Spotlight,Foco de popularidad,Popülerlik Işığı,Tâm Điểm Sức Hút,Pleins feux sur la popularité,Beliebtheitswettbewerb,Momento di popolarità,В лучах популярности,Destaque de Popularidade,ดาวเด่นยอดนิยม,Tumpuan Utama Populariti,أضواء الشعبية
人气榜（小时）,Hourly Popularity Ranking,,,,人氣榜（小時）,인기 랭킹(시간별),受取ランキング（時間別）,Popularitetsranking per timme,Godzinny ranking popularności,Uurlijks populariteitsklassement,Peringkat Popularity per Jam,Clasificación de popularidad por hora,Saatlik Popülerlik Sıralaması,Xếp Hạng Sức Hút Theo Giờ,Classement horaire de popularité,Stündliche Beliebtheitsrangliste,Classifica popolarità oraria,Рейтинг популярности за час,Classificação de Popularidade por Hora,อันดับความนิยมรายชั่วโมง,Kedudukan Populariti Setiap Jam,تصنيف الشعبية بالساعة
异常处理,Handle Exceptions,,游戏设置中的异常处理模块，包含复位和log上传,,,오류 처리,トラブル対応,Hantering av undantag,Obsługuj wyjątki,Uitzonderingen afhandelen,Tangani Pengecualian,Gestionar excepciones,Sorun Gider,Xử Lý Ngoại Lệ,Gérer les exceptions,Ausnahmen bearbeiten,Gestisci le eccezioni,Обработка исключений,Tratamento de Exceções,จัดการข้อยกเว้น,Kendalikan Pengecualian,معالجة الاستثناءات
提交错误报告,Submit Error Report,,游戏设置中的异常处理模块,,,오류 보고 제출,エラー報告を送信,Skicka felanmälan,Prześlij raport o błędzie,Foutrapport versturen,Kirim Laporan Kesalahan,Enviar informe de error,Hata Raporu Gönder,Gửi Báo Cáo Lỗi,Soumettre un rapport d'erreur,Fehlerbericht einreichen,Invia segnalazione di errore,Отправить отчет об ошибке,Enviar Relatório de Erro,ส่งรายงานข้อผิดพลาด,Serahkan Laporan Ralat,إرسال تقرير الخطأ
舰队复位,Fleet Reset,,游戏设置中的异常处理模块,,,함대 복귀,艦隊リセット,Återställning av flotta,Reset floty,Vloot resetten,Reset Armada,Reinicio de flota,Filoyu Sıfırla,Đặt Lại Hạm Đội,Réinitialisation de la flotte,Flotten-Reset,Ripristino della flotta,Сбросить флот,Redefinir Frota,รีเซ็ตกองยาน,Penetapan Semula Armada,إعادة ضبط الأسطول
战区荣耀,Warzone Glory,,铭牌名 | Nameplate Name,,戰區榮耀,전투 구역의 명예,戦区の栄光,Krigszonens ära,Chwała strefy wojny,Oorlogszone-glorie,Warzone Glory,Gloria de zona de guerra,Cephe Şanı,Vinh Quang Chiến Trường,Gloire de la zone de guerre,Ruhm der Kriegszone,Gloria della zona di guerra,Слава военной зоны,Glória da Zona de Guerra,เกียรติยศแห่งสมรภูมิ,Kemuliaan Zon Peperangan,مجد منطقة الحرب
战区之星,Warzone Star,,铭牌名 | Nameplate Name,,戰區之星,전장의 스타,戦区のスター,Krigszonens stjärna,Gwiazda strefy wojny,Oorlogszone-ster,Warzone Star,Estrella de zona de guerra (14 días),Cephe Yıldızı (14 Gün),Ngôi Sao Chiến Trường (14 Ngày),Étoile de la zone de guerre (14 jours),Stern der Kriegszone,Stella della zona di guerra,Звезда военной зоны,Estrela da Zona de Guerra,ดาวแห่งสมรภูมิ,Bintang Zon Peperangan,نجم منطقة الحرب
荣耀远征,Glorious Expedition,,头像框名 | Avatar Frame Name,,榮耀遠征,영광의 원정,栄光の遠征,Storslagen expedition,Wspaniała wyprawa,Glorieuze expeditie,Glorious Expedition,Expedición gloriosa (14 días),Şanlı Sefer (14 Gün),Chinh Phạt Vinh Quang (14 Ngày),Expédition glorieuse (14 jours),Glorreiche Expedition,Spedizione gloriosa,Блестящая экспедиция,Expedição Gloriosa,การเดินทางอันรุ่งโรจน์,Ekspedisi Gemilang,الرحلة الاستكشافية الرائعة
永恒锻炉,Eternal Forge,,武器常驻卡池 | Weapon Permenent Pool,,永恆鍛爐,영원의 제련로,エターナルフォージ,Evighetssmedjan,Wieczna Kuźnia,Eeuwige smederij,Tungku Abadi,Forja eterna,Ebedi Demirhane,Lò Rèn Vĩnh Hằng,Forge éternelle,Ewige Schmiede,Fucina eterna,Вечная кузница,Forja Eterna,เตาหลอมนิรันดร์,Tempa Abadi,التشكيل الأبدي
震荡之力-能量炮,Shock Force - Energy Cannon,,武器名 | Weapon Name,,震盪之力-能量炮,진동의 힘 - 에너지포,衝撃の力・エナジーキャノン,Stötkraft – energikanon,Siła Wstrząsów – działo energetyczne,Schokgolf - energiekanon,Shock Force - Meriam Energi,Fuerza de choque: cañón de energía,Şok Kuvveti - Enerji Topu,Lực Xung Kích – Pháo Năng Lượng,Force de choc - Canon à énergie,Kraft des Schocks – Energiekanone,Forza d'urto - Cannone energetico,Ударная сила — энергетическая пушка,Força de Choque - Canhão de Energia,พลังช็อก – ปืนใหญ่พลังงาน,Kuasa Kejutan - Meriam Tenaga,قوة الصدمة - مدفع الطاقة
压制之力-步枪,Suppressive Force - Rifle,,武器名 | Weapon Name,,壓制之力-步槍,제압의 힘 - 소총,制圧の力・ライフル,Kuvande kraft – gevär,Siła Tłumiąca – strzelba,Onderdrukkende kracht - geweer,Suppressive Force - Senapan,Fuerza de supresión: rifle,Baskılayıcı Kuvvet - Tüfek,Lực Áp Chế – Súng Trường,Force de répression - Fusil,Kraft der Unterdrückung – Gewehr,Forza repressiva - Fucile,Подавляющая сила — винтовка,Força Supressiva - Rifle,พลังกดดัน – ปืนไรเฟิล,Kuasa Penindasan - Senapang,القوة القمعية - البندقية
护卫之力-手枪,Guardian Force - Pistol,,武器名 | Weapon Name,,護衛之力-手槍,수호의 힘 - 권총,守護の力・ピストル,Väktarkraft – pistol,Siła Ochronna – pistolet,Wachterskracht - pistool,Guardian Force - Pistol,Fuerza guardiana: pistola,Muhafız Kuvveti - Tabanca,Lực Bảo Vệ – Súng Lục,Force gardienne - Pistolet,Kraft des Wächters – Pistole,Forza del guardiano - Pistola,Оберегающая сила — пистолет,Força Guardiã - Pistola,พลังพิทักษ์ – ปืนพก,Kuasa Penjaga - Pistol,قوة الحارس - مسدس
无间低语-能量炮,Endless Whisper - Energy Cannon,,武器名 | Weapon Name,,無間低語-能量炮,무간의 속삭임 - 에너지포,無限の囁き・エナジーキャノン,Oändlig viskning – energikanon,Nieskończony Szept – działo energetyczne,Eindeloos gefluister - energiekanon,Endless Whisper - Meriam Energi,Susurro infinito: cañón de energía,Sonsuz Fısıltı - Enerji Topu,Lời Thì Thầm Bất Tận – Pháo Năng Lượng,Murmure éternel - Canon énergétique,Endloses Flüstern – Energiekanone,Sussurro infinito - Cannone energetico,Вечный шепот — энергетическая пушка,Sussurro Infinito - Canhão de Energia,เสียงกระซิบนิรันดร์ – ปืนใหญ่พลังงาน,Bisikan Tanpa Henti - Meriam Tenaga,همس لا ينتهي - مدفع الطاقة
裂解之光-能量炮,Disrupting Light - Energy Cannon,,武器名 | Weapon Name,,裂解之光-能量炮,분해의 빛 - 에너지포,崩壊の光・エナジーキャノン,Störande ljus – energikanon,Zakłócające Światło – działo energetyczne,Verstorend licht - energiekanon,Disrupting Light - Meriam Energi,Luz disruptiva: cañón de energía,Bozucu Işık - Enerji Topu,Ánh Sáng Gián Đoạn – Pháo Năng Lượng,Lumière déviante - Canon énergétique,Interferenzlicht – Energiekanone,Luce dirompente - Cannone energetico,Искажающий свет — энергетическая пушка,Luz Disruptiva - Canhão de Energia,แสงทลายสมดุล – ปืนใหญ่พลังงาน,Cahaya Gangguan - Meriam Tenaga,الضوء المعطل - مدفع الطاقة
叹息之光-步枪,Light of Sorrow - Rifle,,武器名 | Weapon Name,,嘆息之光-步槍,탄식의 빛 - 소총,嘆きの光・ライフル,Sorgens ljus – gevär,Światło Smutku – strzelba,Licht van verdriet - geweer,Light of Sorrow - Senapan,Luz de tristeza: rifle,Keder Işığı - Tüfek,Ánh Sáng U Sầu – Súng Trường,Lumière du chagrin - Fusil,Trauerlicht – Gewehr,Luce del dolore - Fucile,Свет скорби — винтовка,Luz do Pesar - Rifle,แสงแห่งความอาดูร – ปืนไรเฟิล,Cahaya Duka - Senapang,ضوء الحزن - البندقية
幽夜之光-手枪,Nocturne Light - Pistol,,武器名 | Weapon Name,,幽夜之光-手槍,암야의 빛 - 권총,夜想の光・ピストル,Nattligt ljus – pistol,Światło Nocy – pistolet,Nachtlicht - pistool,Nocturne Light - Pistol,Luz nocturna: pistola,Noktürn Işığı - Tabanca,Ánh Sáng Ban Đêm – Súng Lục,Lumière nocturne - Pistolet,Nachtlicht – Pistole,Luce notturna - Pistola,Ночное сияние — пистолет,Luz Noturna - Pistola,แสงรัตติกาล – ปืนพก,Cahaya Nokturna - Pistol,ضوء نوكترن - مسدس
粒子风暴-能量炮,Particle Storm - Energy Cannon,,武器名 | Weapon Name,,粒子風暴-能量炮,입자 폭풍 - 에너지포,粒子の嵐・エナジーキャノン,Partikelstorm – energikanon,Burza Cząsteczek – działo energetyczne,Deeltjesstorm - energiekanon,Particle Storm - Meriam Energi,Tormenta de partículas: cañón de energía,Parçacık Fırtınası - Enerji Topu,Bão Hạt – Pháo Năng Lượng,Tempête de particules - Canon énergétique,Teilchensturm – Energiekanone,Tempesta di particelle - Cannone energetico,Буря частиц — энергетическая пушка,Tempestade de Partículas - Canhão de Energia,พายุสสาร – ปืนใหญ่พลังงาน,Ribut Zarah - Meriam Tenaga,عاصفة من الجسيمات - مدفع الطاقة
粒子对冲-步枪,Particle Counterflow - Rifle,,武器名 | Weapon Name,,粒子對衝-步槍,입자 역류 - 소총,粒子の衝突・ライフル,Partikelmotflöde – gevär,Przeciwprąd Cząsteczek – strzelba,Deeltjestegenstroom - geweer,Particle Counterflow - Senapan,Contraflujo de partículas: rifle,Parçacık Ters Akımı - Tüfek,Dòng Hạt Chảy Ngược – Súng Trường,Flux inversé de particules - Fusil,Antiteilchenfluss – Gewehr,Flusso particellare controcorrente - Fucile,Противоток частиц — винтовка,Contracorrente de Partículas - Rifle,กระแสต้านอนุภาค – ปืนไรเฟิล,Arus Songsang Zarah - Senapang,تدفق الجسيمات المعاكس - بندقية
粒子裂变-手枪,Particle Fission - Pistol,,武器名 | Weapon Name,,粒子裂變-手槍,입자 분열 - 권총,粒子の分裂・ピストル,Partikelfission – pistol,Rozszczepienie Cząsteczek – pistolet,Deeltjessplitsing - pistool,Particle Fission - Pistol,Fisión de partículas: pistola,Parçacık Fisyonu - Tabanca,Phân Hạch Hạt – Súng Lục,Fission de particules - Pistolet,Spaltteilchen – Pistole,Fissione di particelle - Pistola,Распад частиц — пистолет,Fissão de Partículas - Pistola,ฟิชชันอนุภาค – ปืนพก,Pembelahan Zarah - Pistol,انشطار الجسيمات - مسدس
辉耀极光-手枪,Radiant Aurora - Pistol,,武器名 | Weapon Name,,輝耀極光-手槍,찬란한 오로라 - 권총,輝ける極光・ピストル,Strålande aurora – pistol,Lśniąca Zorza – pistolet,Stralend noorderlicht - pistool,Radiant Aurora - Pistol,Aurora radiante: pistola,Işıltılı Aurora - Tabanca,Cực Quang Rực Rỡ – Súng Lục,Aurore radieuse - Pistolet,Strahlende Aurora – Pistole,Aurora radiosa - Pistola,Слепящая аврора — пистолет,Aurora Radiante - Pistola,รัศมีออโรรา – ปืนพก,Aurora Bersinar - Pistol,الشفق المشع - مسدس
逻辑风暴,Logic Storm,,武器SLG技能名 | Weapon SLG Skill Name,,邏輯風暴,로직 스톰,ロジックストーム,Logikstorm,Burza logiki,Logische storm,Logic Storm,Tormenta lógica,Mantık Fırtınası,Bão Logic,Tempête logique,Logiksturm,Tempesta logica,Логический шторм,Tempestade Lógica,พายุตรรกะ,Ribut Logik,عاصفة منطقية
推进脉冲,Propulsion Pulse,,武器SLG技能名 | Weapon SLG Skill Name,,推進脈衝,추진 펄스,推進パルス,Framdrivningspuls,Puls napędowy,Voortstuwingspuls,Propulsion Pulse,Pulso de propulsión,İtiş Dalgası,Xung Lực Đẩy,Impulsion de propulsion,Antriebspuls,Impulso a propulsione,Движущий импульс,Pulso de Propulsão,พัลส์ขับเคลื่อน,Denyut Dorongan,نبضة الدفع
防护校准,Defense Calibration,,武器SLG技能名 | Weapon SLG Skill Name,,防護校準,방호 보정,防護補正,Försvarskalibrering,Kalibracja obrony,Verdedigingskalibratie,Defense Calibration,Calibración defensiva,Savunma Kalibrasyonu,Hiệu Chuẩn Phòng Thủ,Étalonnage de défense,Verteidigungskalibrierung,Calibrazione della difesa,Калибровка обороны,Calibragem de Defesa,การปรับสมดุลการป้องกัน,Penentukuran Pertahanan,معايرة الدفاع
战地急救,Casualty Care,,武器SLG技能名 | Weapon SLG Skill Name,,戰地急救,전장 응급치료,戦場救護,Skadevård,Pomoc rannym,Slachtofferzorg,Casualty Care,Atención de bajas,Yaralı Bakımı,Sơ Cứu Vết Thương,Soins d'urgence,Notversorgung,Cura delle vittime,Помощь пострадавшим,Cuidados com Baixas,การรักษาผู้บาดเจ็บ,Rawatan Kecederaan,رعاية المصابين
光愈矩阵,Luminous Recovery Matrix,,武器SLG技能名 | Weapon SLG Skill Name,,光癒矩陣,빛의 회복 매트릭스,光癒のマトリクス,Lysande återhämtningsmatris,Lśniąca matryca odzyskiwania,Lichtgevende herstelmatrix,Luminous Recovery Matrix,Matriz de recuperación luminosa,Işıltılı Onarım Matrisi,Ma Trận Phục Hồi Phát Sáng,Matrice de récupération lumineuse,Leuchtende Erholungsmatrix,Matrice di recupero luminosa,Световое исцеление,Matriz de Recuperação Luminosa,เมทริกซ์แสงแห่งการฟื้นฟู,Matriks Pemulihan Bercahaya,مصفوفة التعافي البراق
协同保障,Coordinated Safeguard,,武器SLG技能名 | Weapon SLG Skill Name,,協同保障,협동 방어 체계,連携防護,Koordinerat beskydd,Skoordynowana obrona,Gecoördineerde beveiliging,Coordinated Safeguard,Salvaguardia coordinada,Koordineli Koruma,Phối Hợp Bảo Vệ,Sauvegarde coordonnée,Koordinierter Schutz,Salvaguardia coordinata,Координированная охрана,Proteção Coordenada,การป้องกันแบบประสาน,Perlindungan Terselaras,الحماية المنسقة
裂化侵蚀,Fracturing Corrosion,,武器SLG技能名 | Weapon SLG Skill Name,,裂化侵蝕,균열 침식,裂化侵食,Krossande korrosion,Korozja łamiąca,Roestbreuk,Fracturing Corrosion,Corrosión fracturante,Parçalayıcı Korozyon,Ăn Mòn Nứt Vỡ,Corrosion par fracturation,Bruchkorrosion,Corrosione da rottura,Разъедающая коррозия,Corrosão Fraturante,การกัดกร่อนฉีกทำลาย,Hakisan Pemecahan,التآكل الناتج عن التكسير
离子牵引,Ion Tether,,武器SLG技能名 | Weapon SLG Skill Name,,離子牽引,이온 견인,イオン牽引,Jonförankring,Więź jonowa,Ionische kabel,Ion Tether,Atadura de iones,İyon Bağı,Dây Ion,Liaison ionique,Ionenfessel,Cavo ionico,Ионная связь,Ligação Iônica,พันธนาการไอออน,Ikatan Ion,النطاق الأيوني
生命共享,Vital Link,,武器SLG技能名 | Weapon SLG Skill Name,,生命共享,생명 공유,生命共有,Vital länk,Połączenie witalne,Vitale verbinding,Vital Link,Enlace vital,Hayati Bağ,Chia Sẻ Sinh Mệnh,Lien vital,Vitalverbindung,Collegamento vitale,Жизненная связь,Vínculo Vital,สายใยชีวิต,Pautan Vital,رابط حيوي
裁决余波,Judgment Aftershock,,武器SLG技能名 | Weapon SLG Skill Name,,裁決餘波,판결의 여파,裁きの余波,Domens efterskalv,Wstrząsy wtórne osądu,Oordeel naschok,Judgment Aftershock,Réplica de la Sentencia,Yargı Artçı Şoku,Dư Chấn Phán Xét,Séquelles du jugement,Konsequenzen des Urteils,Ripercussione del giudizio,После грома,Abalo do Julgamento,คลื่นสะท้อนพิพากษา,Gegaran Susulan Penghakiman,الصدمة اللاحقة للحكم
裁决余波-强化,Judgment Aftershock - Enhancement,,武器SLG技能名 -总督装备的额外效果 | Weapon SLG Skill Name,,裁決餘波-強化,판결의 여파 - 강화,裁きの余波・強化,Domens efterskalv – förbättring,Wstrząsy wtórne osądu – wzmocnienie,Oordeel naschok - verbetering,Judgment Aftershock - Peningkatan,Réplica de la Sentencia: mejora,Yargı Artçı Şoku - Geliştirilmiş,Dư Chấn Phán Xét – Cường Hóa,Séquelles du jugement - Enchantement,Konsequenzen des Urteils – Verstärkung,Ripercussione del giudizio - Miglioramento,После грома — усиление,Abalo do Julgamento - Aprimoramento,คลื่นสะท้อนพิพากษา - การเสริมพลัง,Gegaran Susulan Penghakiman - Peningkatan,الصدمة اللاحقة للحكم - تعزيز
星海追踪,Stellar Pursuit,,武器SLG技能名 | Weapon SLG Skill Name,,星海追蹤,스텔라 추적,星海追跡,Stjärnjakt,Gwiezdny pościg,Stellaire achtervolging,Stellar Pursuit,Persecución estelar,Yıldız Takibi,Truy Đuổi Sao,Quête stellaire,Sternenverfolger,Inseguimento stellare,Погоня за звездами,Perseguição Estelar,ไล่ล่าดวงดาว,Pemburuan Najam,الملاحقة النجمية
星海追踪-强化,Stellar Pursuit - Enhancement,,武器SLG技能名 -探员装备的额外效果 | Weapon SLG Skill Name,,星海追蹤-強化,스텔라 추적 - 강화,星海追跡・強化,Stjärnjakt – förbättring,Gwiezdny pościg – wzmocnienie,Stellaire achtervolging - verbetering,Stellar Pursuit - Peningkatan,Persecución estelar: mejora,Yıldız Takibi - Geliştirilmiş,Truy Đuổi Sao – Cường Hóa,Quête stellaire - Enchantement,Sternenverfolger – Verstärkung,Inseguimento stellare - Miglioramento,Погоня за звездами — усиление,Perseguição Estelar - Aprimoramento,ไล่ล่าดวงดาว - การเสริมพลัง,Pemburuan Najam - Peningkatan,الملاحقة النجمية - تعزيز
武器能量堆,Weapon Energy Core,,武器能量核心,,武器能量堆,무기 에너지 더미,武器エナジーコア,Energikärna för vapen,Rdzeń energetyczny broni,Wapen-energiekern,Inti Energi Senjata,Núcleo de energía de armas,Silah Enerji Çekirdeği,Lõi Năng Lượng Vũ Khí,Cœur énergétique d'arme,Waffen-Energiekern,Nucleo energetico arma,Энергоядро оружия,Núcleo Energético da Arma,แกนพลังงานอาวุธ,Teras Tenaga Senjata,نواة طاقة السلاح
校准演算,Calibration Algorithm,,武器TPS技能名 | Weapon TPS Skill Name,,校準演算,보정 연산,補正演算,Kalibreringsalgoritm,Algorytm kalibracji,Kalibratiealgoritme,Calibration Algorithm,Algoritmo de calibración,Kalibrasyon Algoritması,Thuật Toán Hiệu Chuẩn,Algorithme d'étalonnage,Kalibrierungsalgorithmus,Algoritmo di calibrazione,Алгоритм калибровки,Algoritmo de Calibragem,อัลกอริทึมปรับสมดุล,Algoritma Penentukuran,خوارزمية المعايرة
逻辑网络,Logic Network,,武器TPS技能名 | Weapon TPS Skill Name,,邏輯網路,로직 네트워크,ロジックネット,Logiknätverk,Sieć logiczna,Logisch netwerk,Logic Network,Red lógica,Mantık Ağı,Mạng Lưới Logic,Réseau logique,Logiknetzwerk,Rete logica,Логическая сеть,Rede Lógica,เครือข่ายตรรกะ,Rangkaian Logik,شبكة منطقية
屏障强化,Barrier Reinforcement,,武器TPS技能名 | Weapon TPS Skill Name,,屏障強化,방어막 강화,バリア強化,Barriärförstärkning,Wzmocnienie bariery,Barrièreversterking,Barrier Reinforcement,Refuerzo de barrera,Bariyer Takviyesi,Gia Cố Rào Chắn,Renforcement des barrières,Barrierenverstärkung,Rinforzo della barriera,Усиление барьера,Reforço de Barreira,เสริมพลังบาเรียร์,Pengukuhan Perisai,تعزيز الحواجز
协同火力,Coordinated Fire,,武器TPS技能名 | Weapon TPS Skill Name,,協同火力,협동 화력,連携射撃,Koordinerad eldgivning,Koordynacja ognia,Gecoördineerde vuurkracht,Coordinated Fire,Fuego coordinado,Koordineli Ateş,Hỏa Lực Phối Hợp,Feu coordonné,Koordiniertes Feuer,Fuoco coordinato,Согласованное нападение,Fogo Coordenado,การยิงประสาน,Api Terselaras,نيران منسقة
